Field1_links,Field2,Field3,Field4,Field5
https://www.imdb.com/title/tt28379984/?ref_=sr_t_73,Sahane Hayatim,7,,
https://www.imdb.com/title/tt11301642/?ref_=sr_t_74,Bir Baskadir,8,8,
https://www.imdb.com/title/tt13550498/?ref_=sr_t_75,Kardeslerim,114,114,
https://www.imdb.com/title/tt27032643/?ref_=sr_t_76,Deep Purple,8,,
https://www.imdb.com/title/tt22728026/?ref_=sr_t_77,Gülcemal,13,,
https://www.imdb.com/title/tt0845088/?ref_=sr_t_78,Arka Sokaklar,645,645,
https://www.imdb.com/title/tt4787028/?ref_=sr_t_79,Muhtesem Yüzyil: Kösem,60,60,
https://www.imdb.com/title/tt14810626/?ref_=sr_t_80,Üç Kurus,29,,
https://www.imdb.com/title/tt4343334/?ref_=sr_t_81,Poyraz Karayel,82,82,
https://www.imdb.com/title/tt13317508/?ref_=sr_t_82,Pera Palas'ta Gece Yarisi,9,9,
https://www.imdb.com/title/tt17678852/?ref_=sr_t_83,Dünyayla Benim Aramda,8,8,
https://www.imdb.com/title/tt11051886/?ref_=sr_t_84,Ramo,40,40,
https://www.imdb.com/title/tt13045860/?ref_=sr_t_85,Hiç Komik Degil,11,,
https://www.imdb.com/title/tt29731276/?ref_=sr_t_86,Altin Kafes,5,,
https://www.imdb.com/title/tt15715130/?ref_=sr_t_87,Erkek Severse,26,,
https://www.imdb.com/title/tt15087526/?ref_=sr_t_88,Alparslan: Büyük Selçuklu,61,61,
https://www.imdb.com/title/tt0421291/?ref_=sr_t_89,Avrupa Yakasi,190,190,
https://www.imdb.com/title/tt13238304/?ref_=sr_t_90,Ersan Kuneri,9,9,
https://www.imdb.com/title/tt7661932/?ref_=sr_t_91,Kadin,81,81,
https://www.imdb.com/title/tt11256260/?ref_=sr_t_92,Hekimoglu,51,51,
https://www.imdb.com/title/tt23791028/?ref_=sr_t_93,Kan Çiçekleri,145,145,
https://www.imdb.com/title/tt14183052/?ref_=sr_t_94,Dogu,16,16,
https://www.imdb.com/title/tt12694140/?ref_=sr_t_95,Marasli,26,26,
https://www.imdb.com/title/tt14014086/?ref_=sr_t_96,Camdaki Kiz,82,82,
https://www.imdb.com/title/tt6162588/?ref_=sr_t_97,Cesur Ve Güzel,32,32,
https://www.imdb.com/title/tt16420408/?ref_=sr_t_98,Mezarlik,4,4,
https://www.imdb.com/title/tt9278408/?ref_=sr_t_99,Bozkir,18,18,
https://www.imdb.com/title/tt6384676/?ref_=sr_t_100,Bu Sehir Arkandan Gelecek,20,20,
https://www.imdb.com/title/tt23032590/?ref_=sr_t_101,Magarsus,9,9,
https://www.imdb.com/title/tt20248478/?ref_=sr_t_102,Duy Beni,20,20,
https://www.imdb.com/title/tt2339608/?ref_=sr_t_103,Karadayi,115,115,
