Field1_links,Field2,Field3_text,Field3_links,Field4_text,Field4_links,Field5_text,Field5_links,Field6,Field7,Field8_text,Field8_links,Field9,Field10_text,Field10_links,Field11_text,Field11_links,Field12_text,Field12_links,Field13_text,Field13_links,Field14_text,Field14_links,Field15,Field16
https://www.imdb.com/title/tt8578422/?ref_=sr_t_861,Ege'nin Hamsisi,Iclal Aydin,https://www.imdb.com/name/nm0043720/?ref_=tt_ov_st,Ugur Çavusoglu,https://www.imdb.com/name/nm0959870/?ref_=tt_ov_st,Uraz Kaygilaroglu,https://www.imdb.com/name/nm5663163/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt8578422/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt7230418/?ref_=sr_t_862,Ögretmen Kemal,Bülent Emin Yarar,https://www.imdb.com/name/nm0946352/?ref_=tt_ov_st,Berat Akca,https://www.imdb.com/name/nm9187125/?ref_=tt_ov_st,Sarp Akkaya,https://www.imdb.com/name/nm3665668/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt7230418/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt6973460/?ref_=sr_t_863,Türk Mali,Safak Sezer,https://www.imdb.com/name/nm0786919/?ref_=tt_ov_st,Mehmet Ali Erbil,https://www.imdb.com/name/nm0258673/?ref_=tt_ov_st,Hasibe Eren,https://www.imdb.com/name/nm1760068/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt6973460/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt9529892/?ref_=sr_t_864,Vurgun,Erkan Petekkaya,https://www.imdb.com/name/nm1759426/?ref_=tt_ov_st,Deniz Çakir,https://www.imdb.com/name/nm1843960/?ref_=tt_ov_st,Emre Kinay,https://www.imdb.com/name/nm1001195/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt9529892/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt9279356/?ref_=sr_t_865,Ne Münasebet,Sarp Levendoglu,https://www.imdb.com/name/nm1778598/?ref_=tt_ov_st,Pelin Akil,https://www.imdb.com/name/nm5262613/?ref_=tt_ov_st,Ulas Torun,https://www.imdb.com/name/nm3620703/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt9279356/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt5887952/?ref_=sr_t_866,Askin Halleri,Metin Akpinar,https://www.imdb.com/name/nm0015527/?ref_=tt_ov_st,Iclal Aydin,https://www.imdb.com/name/nm0043720/?ref_=tt_ov_st,Haldun Dormen,https://www.imdb.com/name/nm0233800/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt5887952/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt8052836/?ref_=sr_t_867,Karakol,Ertan Saban,https://www.imdb.com/name/nm1249031/?ref_=tt_ov_st,Ekin Türkmen,https://www.imdb.com/name/nm1699616/?ref_=tt_ov_st,Ruzgar Aksoy,https://www.imdb.com/name/nm5153368/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt8052836/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt1176640/?ref_=sr_t_868,Sevgili Dünürüm,Mahinur Ergun,https://www.imdb.com/name/nm0258901/?ref_=tt_ov_wr,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt22080106/?ref_=sr_t_869,Kayip Prenses,Yildiz Çagri Atiksoy,https://www.imdb.com/name/nm2899031/?ref_=tt_ov_st,Cüneyt Mete,https://www.imdb.com/name/nm2702953/?ref_=tt_ov_st,Nazli Ceren Argon,https://www.imdb.com/name/nm2862142/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt22080106/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt12418160/?ref_=sr_t_870,Kuslarla Yolculuk,Erdinç Gülener,https://www.imdb.com/name/nm6902028/?ref_=tt_ov_st,Tuncer Salman,https://www.imdb.com/name/nm0758659/?ref_=tt_ov_st,Hamdi Alp,https://www.imdb.com/name/nm4678464/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt12418160/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt2674000/?ref_=sr_t_871,Bizim Okul,Zeki Alasya,https://www.imdb.com/name/nm0016089/?ref_=tt_ov_st,Levent Ülgen,https://www.imdb.com/name/nm0960372/?ref_=tt_ov_st,Cem Davran,https://www.imdb.com/name/nm0205812/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt2674000/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt10308752/?ref_=sr_t_872,Peri Masali,Serenay Sarikaya,https://www.imdb.com/name/nm3020763/?ref_=tt_ov_st,Volkan Akçaalan,https://www.imdb.com/name/nm10437517/?ref_=tt_ov_st,Isik Aras,https://www.imdb.com/name/nm1734306/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt10308752/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt5262862/?ref_=sr_t_873,Ibi,Hakan Bozbey,https://www.imdb.com/name/nm7783750/?ref_=tt_ov_st,Alp Pazarli,https://www.imdb.com/name/nm5726728/?ref_=tt_ov_st,Elif Küçük,https://www.imdb.com/name/nm7783749/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt5262862/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt8537976/?ref_=sr_t_874,Güldüy Güldüy Show Çocuk,Alp Akar,https://www.imdb.com/name/nm8250915/?ref_=tt_ov_st,Berat Efe Parlar,https://www.imdb.com/name/nm6490725/?ref_=tt_ov_st,Esat Polat Güler,https://www.imdb.com/name/nm9050337/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt8537976/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt2537190/?ref_=sr_t_875,Üvey Baba,Burçin Abdullah,https://www.imdb.com/name/nm4076176/?ref_=tt_ov_st,Aylin Arasil,https://www.imdb.com/name/nm1855685/?ref_=tt_ov_st,Betül Asçioglu,https://www.imdb.com/name/nm0044558/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt2537190/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt0493472/?ref_=sr_t_876,Bay Kamber,Kemal Sunal,https://www.imdb.com/name/nm0839017/?ref_=tt_ov_st,Ebru Simsek,https://www.imdb.com/name/nm6001959/?ref_=tt_ov_st,Serdar Bordanaci,https://www.imdb.com/name/nm1318432/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt0493472/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt2983348/?ref_=sr_t_877,Otisabi,Tim Seyfi,https://www.imdb.com/name/nm0960104/?ref_=tt_ov_st,Atilla Pekdemir,https://www.imdb.com/name/nm1310982/?ref_=tt_ov_st,Gürkan Kaçar,https://www.imdb.com/name/nm5731467/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt2983348/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt0286365/?ref_=sr_t_878,Kaynanalar,Tekin Akmansoy,https://www.imdb.com/name/nm0015476/?ref_=tt_ov_st,Leman Çidamli,https://www.imdb.com/name/nm0162107/?ref_=tt_ov_st,Sevda Aydan,https://www.imdb.com/name/nm0043712/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt0286365/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt1176641/?ref_=sr_t_879,Yalan Dünya,Gökhan Özen,https://www.imdb.com/name/nm2338886/?ref_=tt_ov_st,Ipek Tenolcay,https://www.imdb.com/name/nm1156535/?ref_=tt_ov_st,Ceyda Ates,https://www.imdb.com/name/nm2437691/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt1176641/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt0299348/?ref_=sr_t_880,Mahallenin Muhtarlari,Onur Dikmen,https://www.imdb.com/name/nm2498027/?ref_=tt_ov_st,Sema Öztürk,https://www.imdb.com/name/nm1728790/?ref_=tt_ov_st,Atilla Sendil,https://www.imdb.com/name/nm1816529/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt0299348/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt1643221/?ref_=sr_t_881,Türk Mali,Safak Sezer,https://www.imdb.com/name/nm0786919/?ref_=tt_ov_st,Osman Sonant,https://www.imdb.com/name/nm2183200/?ref_=tt_ov_st,Hazal Senel,https://www.imdb.com/name/nm3887955/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt1643221/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt7016256/?ref_=sr_t_882,Iki Yalanci,Keremcem,https://www.imdb.com/name/nm1967434/?ref_=tt_ov_st,Yagmur Tanrisevsin,https://www.imdb.com/name/nm5796793/?ref_=tt_ov_st,Koray Erkök,https://www.imdb.com/name/nm8671717/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt7016256/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt21819764/?ref_=sr_t_883,Serce Sarayi,Songül Öden,https://www.imdb.com/name/nm1438258/?ref_=tt_ov_st,Mert Firat,https://www.imdb.com/name/nm2415920/?ref_=tt_ov_st,Alican Yücesoy,https://www.imdb.com/name/nm2432719/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt21819764/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt0493486/?ref_=sr_t_884,Söhret,Umut Tabak,https://www.imdb.com/name/nm3737815/?ref_=tt_ov_st,Oya Okar,https://www.imdb.com/name/nm2906353/?ref_=tt_ov_st,Orhan Aydin,https://www.imdb.com/name/nm1055050/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt0493486/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt7423096/?ref_=sr_t_885,Yalaza,Didem Balçin,https://www.imdb.com/name/nm2066282/?ref_=tt_ov_st,Ergul Miray Sahin,https://www.imdb.com/name/nm4577662/?ref_=tt_ov_st,Sinan Albayrak,https://www.imdb.com/name/nm1758573/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt7423096/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt8050824/?ref_=sr_t_886,Yol Ayrimi,Efsane Odag,https://www.imdb.com/name/nm9182816/?ref_=tt_ov_st,Begüm Tank,https://www.imdb.com/name/nm9884570/?ref_=tt_ov_st,Ebru Üstüntas,https://www.imdb.com/name/nm9658439/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt8050824/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt0462151/?ref_=sr_t_887,Zehirli Çiçek,Münir Akça,https://www.imdb.com/name/nm1491970/?ref_=tt_ov_st,Kerem Alisik,https://www.imdb.com/name/nm1000300/?ref_=tt_ov_st,Görkem Aribol,https://www.imdb.com/name/nm1942986/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt0462151/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt6369494/?ref_=sr_t_888,Veda,Fahriye Evcen Özçivit,https://www.imdb.com/name/nm2274696/?ref_=tt_ov_st,Mehmet Aslantug,https://www.imdb.com/name/nm0039530/?ref_=tt_ov_st,Burak Yamantürk,https://www.imdb.com/name/nm5741358/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt6369494/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt17040736/?ref_=sr_t_889,Yalnizim Mesut Bey,Mesut Süre,https://www.imdb.com/name/nm7689877/?ref_=tt_ov_st,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt9190036/?ref_=sr_t_890,Görüs Günü Kadinlari,Senay Gürler,https://www.imdb.com/name/nm1699371/?ref_=tt_ov_st,Nesrin Cavadzade,https://www.imdb.com/name/nm1863960/?ref_=tt_ov_st,Yildiz Çagri Atiksoy,https://www.imdb.com/name/nm2899031/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt9190036/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt1282269/?ref_=sr_t_891,Doludizgin Yillar,Damla Debre,https://www.imdb.com/name/nm2102001/?ref_=tt_ov_st,Mustafa Selçuk Gürmeriç,https://www.imdb.com/name/nm2858430/?ref_=tt_ov_st,Yusuf Ömer Sinav,https://www.imdb.com/name/nm3114418/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt1282269/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt0438689/?ref_=sr_t_892,Asli ile Kerem,Sebnem Dönmez,https://www.imdb.com/name/nm1205293/?ref_=tt_ov_st,Ozan Güven,https://www.imdb.com/name/nm0349777/?ref_=tt_ov_st,Demet Evgar,https://www.imdb.com/name/nm1728411/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt0438689/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt0489901/?ref_=sr_t_893,Hirsiz Polis,Timuçin Esen,https://www.imdb.com/name/nm1731801/?ref_=tt_ov_st,Vahide Perçin,https://www.imdb.com/name/nm1699368/?ref_=tt_ov_st,Ozan Güven,https://www.imdb.com/name/nm0349777/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt0489901/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt10422508/?ref_=sr_t_894,Benimle Söyle,Enis Arikan,https://www.imdb.com/name/nm1758599/?ref_=tt_ov_st,Ayta Sözeri,https://www.imdb.com/name/nm4158846/?ref_=tt_ov_st,Esra Akpinar,https://www.imdb.com/name/nm10315734/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt10422508/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt11559792/?ref_=sr_t_895,Survivor 2020,Acun Ilicali,https://www.imdb.com/name/nm1727403/?ref_=tt_ov_st,Baris Murat Yagci,https://www.imdb.com/name/nm8615175/?ref_=tt_ov_st,Cemal Can Canseven,https://www.imdb.com/name/nm11355791/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt11559792/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt0454585/?ref_=sr_t_896,Yeter Anne,Ilker Kizmaz,https://www.imdb.com/name/nm3103879/?ref_=tt_ov_st,Suna Pekuysal,https://www.imdb.com/name/nm0670739/?ref_=tt_ov_st,Özkan Ugur,https://www.imdb.com/name/nm0880126/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt0454585/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt12858840/?ref_=sr_t_897,Akinci,Hakan Kandal,https://www.imdb.com/name/nm8250920/?ref_=tt_ov_wr,,,,,,,,,,,https://www.imdb.com/title/tt12858840/fullcredits/writer?ref_=tt_ov_wr_sm,,,,,,,,,,
https://www.imdb.com/title/tt7372098/?ref_=sr_t_898,Klavye Delikanlilari,Rasim Öztekin,https://www.imdb.com/name/nm0654863/?ref_=tt_ov_st,Vildan Atasever,https://www.imdb.com/name/nm1699257/?ref_=tt_ov_st,Kaan Yildirim,https://www.imdb.com/name/nm6870289/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt7372098/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt0456815/?ref_=sr_t_899,Çifte Bela,Mümtaz Sevinç,https://www.imdb.com/name/nm1320098/?ref_=tt_ov_st,Gül Onat,https://www.imdb.com/name/nm1031763/?ref_=tt_ov_st,Ayse Tolga,https://www.imdb.com/name/nm1760586/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt0456815/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt2942436/?ref_=sr_t_900,Osmanlida Derin Devlet,Onur Azad Yilmaz,https://www.imdb.com/name/nm9623216/?ref_=tt_ov_st,Orhan Kilic,https://www.imdb.com/name/nm1047987/?ref_=tt_ov_st,Devrim Saltoglu,https://www.imdb.com/name/nm1437386/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt2942436/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt26345503/?ref_=sr_t_901,Askimiz Yeter,Ümit Kantarcilar,https://www.imdb.com/name/nm6844214/?ref_=tt_ov_st,Berna Koraltürk,https://www.imdb.com/name/nm7817986/?ref_=tt_ov_st,Selda Özbek,https://www.imdb.com/name/nm1705809/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt26345503/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt0421303/?ref_=sr_t_902,Camdan Pabuçlar,Ibrahim Celikkol,https://www.imdb.com/name/nm2965591/?ref_=tt_ov_st,Tardu Flordun,https://www.imdb.com/name/nm1698772/?ref_=tt_ov_st,Berke Hürcan,https://www.imdb.com/name/nm1001083/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt0421303/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt14715528/?ref_=sr_t_903,Kolej,,,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt5303466/?ref_=sr_t_904,Mayis Kraliçesi,Yagmur Tanrisevsin,https://www.imdb.com/name/nm5796793/?ref_=tt_ov_st,Samet Sirmali,https://www.imdb.com/name/nm7819447/?ref_=tt_ov_st,Ahmet Olgun Sünear,https://www.imdb.com/name/nm3561824/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt5303466/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt1210404/?ref_=sr_t_905,Pars: Narkoterör,Ibrahim Celikkol,https://www.imdb.com/name/nm2965591/?ref_=tt_ov_st,Ozman Sirgood,https://www.imdb.com/name/nm0816435/?ref_=tt_ov_st,Rana Cabbar,https://www.imdb.com/name/nm0127552/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt1210404/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt8930782/?ref_=sr_t_906,GIF,Onur Durmaz,https://www.imdb.com/name/nm8079370/?ref_=tt_ov_st,Yagizcan Küçükcan,https://www.imdb.com/name/nm10089974/?ref_=tt_ov_st,Cemre Kurum,https://www.imdb.com/name/nm9633312/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt8930782/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt3673316/?ref_=sr_t_907,Niloya,Tarik Bayrak,https://www.imdb.com/name/nm6434031/?ref_=tt_ov_st,Nilgün Karababa,https://www.imdb.com/name/nm1690015/?ref_=tt_ov_st,Merve Ihlamur,https://www.imdb.com/name/nm6434034/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt3673316/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt4716808/?ref_=sr_t_908,Firuze,Ceren Hindistan,https://www.imdb.com/name/nm3113377/?ref_=tt_ov_st,Ceyda Ates,https://www.imdb.com/name/nm2437691/?ref_=tt_ov_st,Firat Çelik,https://www.imdb.com/name/nm4199030/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt4716808/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt8056980/?ref_=sr_t_909,Eksi 18,Emrah Akduman,https://www.imdb.com/name/nm2501981/?ref_=tt_ov_st,Busra Alcin,https://www.imdb.com/name/nm2881689/?ref_=tt_ov_st,Nesime Alis,https://www.imdb.com/name/nm4577645/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt8056980/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
