,Unnamed: 0,Name,Years,Age,Duration,Rating,VoteCount,Summary,Review_Count,Seasons,Star1,Star2,Star3,EpisodeCount,baslangic,isFinal,Sınıf,EpsPerSeason,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Game-Show,History,Music,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,others,HasLove,HasFamily,HasIstanbul,Basrol_Class1,Basrol_Class2,Basrol_Class3,Basrol_Class4
15,15,Ilk Ve Son,2021,7.0,60.0,8.1,2200.0,"The story of Deniz and Baris' relationship for 10 years. The two young men who met in their mid 20's, until the day they divorced; a love story sometimes sunny, cloudy, stormy, possible and impossible.",7.0,2.0,Özge Özpirinçci,Salih Bademci,Gulcin Kultur Sahin,8.0,2021,0,2,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
16,16,Kara Sevda,2015–2017,7.0,90.0,7.4,9800.0,A young artist finds herself obligated to sacrifice her love story for hiding a family secret.,22.5,2.0,Burak Özçivit,Neslihan Atagül,Kaan Urgancioglu,89.0,2015,1,2,44.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
17,17,The Protector,2018–2020,7.0,40.0,6.5,36000.0,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.",22.5,4.0,Binnur Karaevli,,,32.0,2018,1,3,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,18,Bambaska Biri,2023,7.0,130.0,7.2,2100.0,"The brutal murder of Hamdi Atilbay brings together the paths of young prosecutor Leyla, and a famous journalist Kenan. However, this murder is covered with facts that will also destroy their love.",22.5,3.0,Burak Deniz,Hande Erçel,Cem Davran,15.0,2023,0,3,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19,20,Siyah Beyaz Ask,2017–2018,7.0,140.0,8.0,7900.0,A doctor who has devoted herself to healing others encounters a cold-blooded killer with a wounded past. What happens when the woman who saves lives is captured by the man who takes them?,22.5,2.0,Ibrahim Celikkol,Birce Akalay,Muhammet Uzuner,32.0,2017,1,2,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,21,Adim Farah,2023,7.0,83.0,6.4,3200.0,Farah is a 28-year-old Iranian doctor who works illegally as a cleaner in Istanbul and witnesses a murder committed by the mafia.,22.5,2.0,Engin Akyürek,Demet Özdemir,Firat Tanis,27.0,2023,0,2,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
21,22,Ezel,2009–2011,7.0,90.0,8.7,36000.0,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",22.5,2.0,Kenan Imirzalioglu,Cansu Dere,Yigit Özsener,71.0,2009,1,2,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
22,23,Kurtlar Vadisi,2003–2005,7.0,60.0,7.9,20000.0,Follows a Turkish agent working under the assumed identity of Polat Alemdar attempting to infiltrate the Turkish mafia.,22.5,4.0,Necati Sasmaz,Özgü Namal,Gürkan Uygun,97.0,2003,1,3,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,24,Ask-i Memnu,2008–2010,7.0,90.0,7.7,15000.0,"Rich Adnan marries Bihter, who is younger than him. A poisonous forbidden love begins between Adnan's nephew Behlül and Bihter who lives in the same mansion.",22.5,2.0,Beren Saat,Kivanç Tatlitug,Nebahat Çehre,79.0,2008,1,2,40.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
24,25,Dirilis: Ertugrul,2014–2019,7.0,120.0,7.9,39000.0,"The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire.",22.5,4.5,Müjde Ar,Sükran Güngör,Itir Esen,6.0,2014,1,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,26,Prens,2023– ,7.0,83.0,8.0,2100.0,"Bongomia is a country that no one cares about, in a history that no one cares about. After the sudden and suspicious death of Thun, king of Bongomia, a complicated story begins when the Prince, whom no one takes seriously and whose family does not even bother to name, comes to the throne.",7.0,2.0,Beren Saat,Kivanç Tatlitug,Nebahat Çehre,79.0,2023,0,2,40.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
26,27,Kiralik Ask,2015–2017,7.0,120.0,7.3,9500.0,"When Defne's brother gets into debt and is held captive, Defne is forced to accept an offer in exchange for the money. She has to make Omer, a wealthy shoe designer who owns a company, fall in love with her and marry her.",22.5,2.0,Müjde Ar,Sükran Güngör,Itir Esen,6.0,2015,1,2,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,28,Behzat Ç.: Bir Ankara Polisiyesi,2010–2019,7.0,90.0,8.9,32000.0,An inharmonious police team in Ankara Police Force and its discredited police chief fight crime.,22.5,4.0,Mehmet Bozdag,,,101.0,2010,1,3,45.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,29,Arak,2023– ,7.0,83.0,6.6,82000.0,"In 1998, Elif Çinar, the wife of Rauf Çinar, one of the country's leading economics professors, is stabbed by a burglar named Necip Talan. The lives of these two families from completely different worlds change after that night.",2.0,2.0,Giray Altinok,Derya Pinar Ak,Çagdas Onur Öztürk,8.0,2023,0,2,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
