Field1_links,Dogum_Tarihi,Yas,Kariyer,Proje_Sayısı,Name
https://www.beyazperde.com/sanatcilar/sanatci-785720/,"
2 Aralık 1997
","
Yaş 
26
",6,8,Afra Saraçoğlu
https://www.beyazperde.com/sanatcilar/sanatci-517587/,,,15,12,Serenay Sarıkaya
https://www.beyazperde.com/sanatcilar/sanatci-692770/,,,9,6,Melis Civelek
https://www.beyazperde.com/sanatcilar/sanatci-1015118/,,,,,İbrahim Temizoğlu
https://www.beyazperde.com/sanatcilar/sanatci-520917/,"
23 Eylül 1990
","
Yaş 
33
",12,13,Çağatay Ulusoy
https://www.beyazperde.com/sanatcilar/sanatci-503965/,"
7 Eylül 1979
","
Yaş 
44
",19,16,Mehmet Ali Nuroğlu
https://www.beyazperde.com/sanatcilar/sanatci-182476/,"
18 Haziran 1974
","
Yaş 
49
",22,16,Kenan İmirzalıoğlu
https://www.beyazperde.com/sanatcilar/sanatci-490689/,"
20 Nisan 1976
","
Yaş 
47
",18,23,Ali Atay
https://www.beyazperde.com/sanatcilar/sanatci-517349/,"
6 Temmuz 1986
","
Yaş 
37
",13,13,Burcu Binici
https://www.beyazperde.com/sanatcilar/sanatci-100656/,"
23 Nisan 1973
","
Yaş 
50
",24,22,Cem Yılmaz
https://www.beyazperde.com/sanatcilar/sanatci-495068/,"
17 Haziran 1930
","
Ölümü 


11 Aralık 1987


57 yaşında
(İstanbul)
",36,43,Adile Naşit
https://www.beyazperde.com/sanatcilar/sanatci-680625/,"
30 Haziran 1987
","
Yaş 
36
",9,17,Uraz Kaygılaroğlu
https://www.beyazperde.com/sanatcilar/sanatci-499833/,"
29 Mart 1985
","
Yaş 
38
",15,29,Kemal Uçar
https://www.beyazperde.com/sanatcilar/sanatci-599087/,"
14 Nisan 1991
","
Yaş 
32
",10,10,Melisa Aslı Pamuk
https://www.beyazperde.com/sanatcilar/sanatci-535089/,"
23 Eylül 1976
","
Yaş 
47
",15,19,Tuğrul Tülek
https://www.beyazperde.com/sanatcilar/sanatci-740369/,"
30 Ekim 1992
","
Yaş 
31
",11,4,Gökçe Akyıldız
https://www.beyazperde.com/sanatcilar/sanatci-100659/,"
10 Ekim 1970
","
Yaş 
53
",23,35,Şafak Sezer
https://www.beyazperde.com/sanatcilar/sanatci-679279/,"
16 Ocak 1983
","
Yaş 
40
",9,26,Erkan Kolçak Köstendil
https://www.beyazperde.com/sanatcilar/sanatci-627425/,,,10,12,Uğur Güneş
https://www.beyazperde.com/sanatcilar/sanatci-518232/,"
27 Mayıs 1968
","
Yaş 
55
",15,27,Devrim Yakut
https://www.beyazperde.com/sanatcilar/sanatci-139654/,"
4 Kasım 1967
","
Yaş 
56
",31,25,Yılmaz Erdoğan
https://www.beyazperde.com/sanatcilar/sanatci-153922/,"
12 Eylül 1981
","
Yaş 
42
",19,21,Ufuk Bayraktar
https://www.beyazperde.com/sanatcilar/sanatci-852977/,"
29 Haziran 1989
","
Yaş 
34
",4,4,Melis İşiten
https://www.beyazperde.com/sanatcilar/sanatci-666508/,"
2 Temmuz 1985
","
Yaş 
38
",9,12,Onur Tuna
https://www.beyazperde.com/sanatcilar/sanatci-169568/,"
11 Mart 1971
","
Yaş 
52
",19,8,Gülse Birsel
https://www.beyazperde.com/sanatcilar/sanatci-679468/,"
4 Haziran 1986
","
Yaş 
37
",8,5,Eylül Öztürk
https://www.beyazperde.com/sanatcilar/sanatci-262007/,,,19,20,Murat Yıldırım
https://www.beyazperde.com/sanatcilar/sanatci-515185/,"
25 Ağustos 1990
","
Yaş 
33
",13,12,Aras Bulut İynemli
https://www.beyazperde.com/sanatcilar/sanatci-248388/,"
14 Temmuz 1930
","
Ölümü 


25 Temmuz 2023


93 yaşında
",65,41,Yılmaz Gruda
https://www.beyazperde.com/sanatcilar/sanatci-211711/,,,14,12,Burak Özçivit
https://www.beyazperde.com/sanatcilar/sanatci-169539/,"
1979
","
Yaş 
44
",18,16,Tayanç Ayaydın
https://www.beyazperde.com/sanatcilar/sanatci-14860/,"
13 Aralık 1949
","
Ölümü 


16 Eylül 2016


66 yaşında
(İstanbul)
",43,109,Tarık Akan
https://www.beyazperde.com/sanatcilar/sanatci-127241/,,,25,11,Ömür Atay
https://www.beyazperde.com/sanatcilar/sanatci-78454/,,,36,65,Cezmi Baskın
https://www.beyazperde.com/sanatcilar/sanatci-427277/,"
25 Kasım 1977
","
Yaş 
46
",18,40,Serkan Keskin
https://www.beyazperde.com/sanatcilar/sanatci-914196/,"
26 Eylül 1997
","
Yaş 
26
",4,6,Özge Yağız
https://www.beyazperde.com/sanatcilar/sanatci-427280/,"
12 Eylül 1977
","
Yaş 
46
",17,17,Onur Saylak
https://www.beyazperde.com/sanatcilar/sanatci-552836/,"
12 Ağustos 1976
","
Yaş 
47
",6,10,Cem Uçan
https://www.beyazperde.com/sanatcilar/sanatci-788641/,"
4 Kasım 1993
","
Yaş 
30
",7,9,Pınar Deniz
https://www.beyazperde.com/sanatcilar/sanatci-518340/,"
16 Nisan 1977
","
Yaş 
46
",26,16,Ceyda Düvenci
